code,index,dte,entry_time,exit_time,orderside,method,om,movement
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_32,NIFTY,2,09:33:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_33,NIFTY,2,09:35:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_1,SENSEX,1,09:15:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_2,SENSEX,1,09:17:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_3,SENSEX,1,09:19:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_4,SENSEX,1,09:21:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_5,SENSEX,1,09:23:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_6,SENSEX,1,09:25:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_7,SENSEX,1,09:27:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_8,SENSEX,1,09:29:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_9,SENSEX,1,09:31:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_10,SENSEX,1,09:33:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_11,SENSEX,1,09:35:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_12,SENSEX,1,09:15:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_13,SENSEX,1,09:17:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_14,SENSEX,1,09:19:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_15,SENSEX,1,09:21:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_16,SENSEX,1,09:23:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_17,SENSEX,1,09:25:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_18,SENSEX,1,09:27:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_19,SENSEX,1,09:29:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_20,SENSEX,1,09:31:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_21,SENSEX,1,09:33:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_22,SENSEX,1,09:35:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_23,SENSEX,1,09:15:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_24,SENSEX,1,09:17:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_25,SENSEX,1,09:19:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_26,SENSEX,1,09:21:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_27,SENSEX,1,09:23:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_28,SENSEX,1,09:25:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_29,SENSEX,1,09:27:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_30,SENSEX,1,09:29:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_31,SENSEX,1,09:31:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_32,SENSEX,1,09:33:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_33,SENSEX,1,09:35:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_1,SENSEX,2,09:15:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_2,SENSEX,2,09:17:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_3,SENSEX,2,09:19:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_4,SENSEX,2,09:21:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_5,SENSEX,2,09:23:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_6,SENSEX,2,09:25:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_7,SENSEX,2,09:27:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_8,SENSEX,2,09:29:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_9,SENSEX,2,09:31:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_10,SENSEX,2,09:33:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_11,SENSEX,2,09:35:00,13:00:00,sell,HL,0.30SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_12,SENSEX,2,09:15:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_13,SENSEX,2,09:17:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_14,SENSEX,2,09:19:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_15,SENSEX,2,09:21:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_16,SENSEX,2,09:23:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_17,SENSEX,2,09:25:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_18,SENSEX,2,09:27:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_19,SENSEX,2,09:29:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_20,SENSEX,2,09:31:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_21,SENSEX,2,09:33:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_22,SENSEX,2,09:35:00,13:00:00,sell,HL,0.50SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_23,SENSEX,2,09:15:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_24,SENSEX,2,09:17:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_25,SENSEX,2,09:19:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_26,SENSEX,2,09:21:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_27,SENSEX,2,09:23:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_28,SENSEX,2,09:25:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_29,SENSEX,2,09:27:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_30,SENSEX,2,09:29:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_31,SENSEX,2,09:31:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_32,SENSEX,2,09:33:00,13:00:00,sell,HL,1.00SD,100
SRE_PREMIUM_SHIFT_TILL_PREMIUM_Morning_33,SENSEX,2,09:35:00,13:00:00,sell,HL,1.00SD,100
